model,test_patient,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1_score,roc_auc
Logistic Regression,chb01,0.625,0.625,0.7272727272727273,0.4,0.85,0.5161290322580645,0.8325
Logistic Regression,chb02,0.8414634146341463,0.8414634146341464,0.8043478260869565,0.9024390243902439,0.7804878048780488,0.8505747126436781,0.8976799524092803
Logistic Regression,chb03,0.9038461538461539,0.9038461538461539,1.0,0.8076923076923077,1.0,0.8936170212765957,0.9630177514792899
Logistic Regression,chb05,0.7631578947368421,0.763157894736842,0.6785714285714286,1.0,0.5263157894736842,0.8085106382978723,0.9919975377039089
Logistic Regression,chb08,0.711764705882353,0.711764705882353,0.95,0.4470588235294118,0.9764705882352941,0.608,0.8080276816608996
Random Forest,chb01,0.675,0.675,1.0,0.35,1.0,0.5185185185185185,0.83625
Random Forest,chb02,0.8658536585365854,0.8658536585365855,0.8260869565217391,0.926829268292683,0.8048780487804879,0.8735632183908046,0.9452706722189173
Random Forest,chb03,0.7884615384615384,0.7884615384615384,0.8260869565217391,0.7307692307692307,0.8461538461538461,0.7755102040816326,0.8890532544378699
Random Forest,chb05,0.7192982456140351,0.7192982456140351,0.6404494382022472,1.0,0.43859649122807015,0.7808219178082192,0.8362573099415205
Random Forest,chb08,0.7411764705882353,0.7411764705882353,0.9019607843137255,0.5411764705882353,0.9411764705882353,0.6764705882352942,0.7955709342560553
SVM,chb01,0.575,0.575,0.6363636363636364,0.35,0.8,0.45161290322580644,0.6849999999999999
SVM,chb02,0.8414634146341463,0.8414634146341464,0.8043478260869565,0.9024390243902439,0.7804878048780488,0.8505747126436781,0.9244497323022011
SVM,chb03,0.6153846153846154,0.6153846153846154,0.65,0.5,0.7307692307692307,0.5652173913043478,0.7130177514792899
SVM,chb05,0.6052631578947368,0.6052631578947368,0.5612244897959183,0.9649122807017544,0.24561403508771928,0.7096774193548387,0.41243459526008
SVM,chb08,0.7294117647058823,0.7294117647058823,0.9534883720930233,0.4823529411764706,0.9764705882352941,0.640625,0.8422145328719723
